6 |2024-04-18 18:26:21.5056 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-18 18:26:21.5056 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
6 |2024-04-18 18:26:21.5807 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
12 |2024-04-18 18:26:21.5807 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
12 |2024-04-18 18:26:21.5958 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-18 18:26:21.5958 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-18 18:26:22.4903 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
12 |2024-04-18 18:26:22.4903 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 5
6 |2024-04-18 18:26:22.4903 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
12 |2024-04-18 18:26:22.4903 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
6 |2024-04-18 18:26:22.4903 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-18 18:26:22.4903 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
12 |2024-04-18 18:26:39.6207 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
12 |2024-04-18 18:26:39.6207 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
12 |2024-04-18 18:26:39.6768 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 0
12 |2024-04-18 18:26:39.6768 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
