14 |2024-04-26 23:30:05.9584 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetching Record From DB
14 |2024-04-26 23:30:06.0849 |DEBUG |Data Layer |DataLayer.CategoryDB.GetAll |Fetched Record From DB count - 2
14 |2024-04-26 23:30:06.0880 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetching Record From DB
14 |2024-04-26 23:30:06.1898 |DEBUG |Data Layer |DataLayer.ReportDB.GetAll |Fetched Record From DB count - 1
7 |2024-04-26 23:30:22.9561 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
7 |2024-04-26 23:30:22.9561 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
14 |2024-04-26 23:33:14.4947 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Adding Expense
14 |2024-04-26 23:33:14.5247 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by name
14 |2024-04-26 23:33:15.0013 |DEBUG |Data Layer |DataLayer.ExpenseDB.GetByName |Fetching Expense to DB by Name
14 |2024-04-26 23:33:15.0013 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Adding Expense to DB
14 |2024-04-26 23:33:15.1675 |DEBUG |Data Layer |DataLayer.ExpenseDB.Add |Added Expense to DB
14 |2024-04-26 23:33:15.1675 |DEBUG |Service Layer |ServiceLayer.ExpenseManager.Add |Added expense to DB
6 |2024-04-27 00:03:35.9837 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
6 |2024-04-27 00:03:36.1454 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
6 |2024-04-27 00:03:36.3790 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
6 |2024-04-27 00:03:38.2920 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
6 |2024-04-27 00:03:38.2920 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
