15 |2024-04-27 00:31:57.6973 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
15 |2024-04-27 00:31:57.7610 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
9 |2024-04-27 00:32:05.3621 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.Add |Adding employee from serviec layer
9 |2024-04-27 00:32:05.3621 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetByName |Fetching employee to DB
9 |2024-04-27 00:32:05.3621 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetByName |Getting employee having {employee.Name} in Db
9 |2024-04-27 00:32:05.4312 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetByName |Getted employee having {employee.Name} in Db
9 |2024-04-27 00:32:05.4312 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetByName |Fetched employee to DB
9 |2024-04-27 00:32:05.4312 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetByEmail |Fetching employee to DB
9 |2024-04-27 00:32:05.4312 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetByEmail |Fetching employee having {employee.Email} in Db
9 |2024-04-27 00:32:05.5097 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetByEmail |Fetching employee having {employee.Email} in Db
9 |2024-04-27 00:32:05.5097 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetByEmail |Fetched employee to DB
9 |2024-04-27 00:32:05.5097 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.Add |Added employee from serviec layer
9 |2024-04-27 00:32:05.5097 |DEBUG |Data Layer |DataLayer.EmployeeDB.Add |Adding {employee.Name} in employee Db
9 |2024-04-27 00:32:05.5847 |DEBUG |Data Layer |DataLayer.EmployeeDB.Add |Added {employee.Name} in employee Db
15 |2024-04-27 00:32:05.5847 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |Calling List on get method
15 |2024-04-27 00:32:05.5847 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetching all record
15 |2024-04-27 00:32:05.5847 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetching Record From DB
15 |2024-04-27 00:32:05.6024 |DEBUG |Data Layer |DataLayer.EmployeeDB.GetAll |Fetched Record From DB count - 1
15 |2024-04-27 00:32:05.6024 |DEBUG |Service Layer |ServiceLayer.EmployeeManager.GetAll |Fetched all record
15 |2024-04-27 00:32:05.6024 |DEBUG |Tasl1 |Task1.Pages.EmployeeNTier.ListModel.OnGet |List Page on get method completed
17 |2024-04-27 00:32:09.8132 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
17 |2024-04-27 00:32:09.8392 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 3
