27 |2024-04-27 01:30:13.7107 |DEBUG |Service Layer |ServiceLayer.DepartmentManager.Update |Updating Department to DB
27 |2024-04-27 01:30:13.7107 |DEBUG |Data Layer |DataLayer.DepartmentDB.Update |Updating Department to DB
22 |2024-04-27 01:30:13.7619 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
22 |2024-04-27 01:30:13.7619 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
22 |2024-04-27 01:30:13.7619 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 5
22 |2024-04-27 01:30:13.7652 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
27 |2024-04-27 01:30:19.9682 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Calling List on Get By Delete:16 method
27 |2024-04-27 01:30:19.9682 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
27 |2024-04-27 01:30:20.0331 |DEBUG |Data Layer |DataLayer.DepartmentDB.Delete |Deleting Department to DB
27 |2024-04-27 01:30:20.0331 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGetDelete |Called List on Get By Delete:16 method
27 |2024-04-27 01:30:20.0456 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |Calling List on get method
27 |2024-04-27 01:30:20.0456 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetching Record From DB
27 |2024-04-27 01:30:20.0456 |DEBUG |Data Layer |DataLayer.DepartmentDB.GetAll |Fetched Record From DB count - 4
27 |2024-04-27 01:30:20.0518 |DEBUG |Tasl1 |Task1.Pages.DepartmentNTier.ListModel.OnGet |List Page on get method completed
27 |2024-04-27 01:30:24.7520 |DEBUG |Tasl1 |Task1.Pages.FinalList.ListModel.OnGet |Calling List on get method
